location,sublocation,rhtc_rhdc,plot no,nearest town,status,constituency,blood tr,off_landline,off_fax,off_postcode,fp,off_mob,outp,off_town,anc,imci,off_email,tb_treat,growth,ceoc,division,tb_labs,district,inp,off_pobox,facility,cots,province,in charge name,art,beoc,hbc,tb_diag,hct,c section,imm,beds,mflcode,pmtct,radiology,owner,type,youth,latitude,longitude
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,Y,,,,Y,,Kasarani,,Nairobi North,,,Nimoli Medical Centre,,Nairobi,,,,Y,Y,Y,,Y,,13125,Y,,Other Private,Health Centre,,,
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,,Kasarani,,Nairobi North,,,NSIS Health Centre (Ruaraka),,Nairobi,,,,,,,,Y,,13127,Y,,Ministry of Health,Health Centre,,,
Githurai,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,Y,,,Y,Y,Y,Kasarani,,Nairobi North,,,Nuffield Nursing Home,,Nairobi,,Y,Y,Y,Y,Y,,Y,,13128,Y,,Other Private,Nursing home with Maternity,,,
Ruaraka,,,,Nairobi,Operational,KASARANI,,802521,,,Y,,,,Y,,,,Y,,Kasarani,Y,Nairobi North,,,NYS HQ Health Centre (Nairobi North),,Nairobi,,,,,,,,Y,,13130,,,Ministry of Health,Health Centre,,,
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,,,,,,,Kasarani,,Nairobi North,,,Ogwedhi Dispensary (Nairobi North),,Nairobi,,,,,,,,,,13133,,,Other Private,Dispensary,,,
Kariokor,,,,Nairobi,Operational,STAREHE,,,,,,,,,Y,,,,Y,,Central,,Nairobi North,,,Pangani Dispensary,,Nairobi,,,,,,Y,,Y,,13138,,,Local Authority,Dispensary,,-0.316755245337163,36.0906536664695
Ngara,,,,Nairobi,Operational,STAREHE,,,,,Y,,,,Y,,,,Y,,Central,Y,Nairobi North,,,Parkroad Hospital,,Nairobi,,,,,,Y,,Y,,13139,Y,,Other Private,Other Hospital,,-0.316755245337163,36.0906536664695
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,Y,,,,Y,,,,Y,,Central,,Nairobi North,,,Phoenix (FHOK) Clinic,,Nairobi,,,,Y,,Y,,Y,,13140,Y,,Non-Governmental Organizations,Medical Clinic - Other,,-0.316755245337163,36.0906536664695
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,,Kasarani,,Nairobi North,,,Piemu Medical Health Centre,,Nairobi,,,,,,,,Y,,13141,,,Other Faith Based,Medical Clinic - Other,,,
Kahawa,,,,Nairobi,Operational,KASARANI,,,,,Y,0722-700593,Y,,Y,,,,Y,,Kasarani,,Nairobi North,,,Pona Mat Dispensary,,Nairobi,,,Y,,,,,Y,,13145,,,Other Private,Dispensary,,,
Githurai,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,Y,,,,Y,,Kasarani,,Nairobi North,,,Prime Healthservices Dispensary,,Nairobi,,,,,,,,Y,,13147,,,Other Private,Dispensary,,,
Roysambu,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,Y,Y,Y,Kasarani,,Nairobi North,Y,,Provide Inter Math Dispensary,,Nairobi,,N,Y,,Y,Y,Y,Y,,13149,Y,Y,Other Private,Dispensary,,,
Kasarani,,,,Nairobi,Operational,KASARANI,,,,,,,,,Y,,,Y,Y,,Kasarani,Y,Nairobi North,,,Provide International Korogocho,,Nairobi,,Y,,Y,Y,Y,,Y,,13150,Y,Y,Other Faith Based,Other Hospital,,,
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,Y,,,,Y,,Kasarani,Y,Nairobi North,,P.O. Box 409,PSTC Health Centre,,Nairobi,,,Y,,,,Y,Y,,13153,,Y,Ministry of Health,Health Centre,,,
Pumwani,,,,Nairobi,Operational,KAMUKUNJI,,,,,,,,,,,,,,,Pumwani,,Nairobi North,,,Pumwani Clinic,,Nairobi,,,,,,,,,,13154,,,Local Authority,Dispensary,,-1.29072335708361,36.8345703830457
Pumwani Majengo,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,,,Y,Y,,Pumwani,Y,Nairobi North,Y,,Pumwani Majengo Dispensary,,Nairobi,,Y,,,Y,Y,Y,Y,,13155,,,Local Authority,Dispensary,,-1.29072335708361,36.8345703830457
Pumwani,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,,,Y,,Y,Pumwani,Y,Nairobi North,,,Pumwani Maternity Hospital,,Nairobi,,Y,Y,,Y,Y,Y,,,13156,,Y,Local Authority,Other Hospital,,-1.29072335708361,36.8345703830457
Pumwani,,,,Nairobi,Operational,KAMUKUNJI,,,,,,,,,,,,,,,Pumwani,,Nairobi North,,,Pumwani Maternity VCT Centre,,Nairobi,,,,,,,,,350,13157,,,Local Authority,VCT Centre (Stand-Alone),,-1.29072335708361,36.8345703830457
Kariokor,,,,Nairobi,Operational,STAREHE,,,,,,,Y,,Y,,,,Y,,Central,,Nairobi North,,,Radent Hospital,,Nairobi,,Y,,,,Y,,Y,,13158,,,Other Private,Other Hospital,,-0.316755245337163,36.0906536664695
Kahawa,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,Y,,,Y,Y,,Kasarani,,Nairobi North,,,Redemeed Health Centre,,Nairobi,,,,Y,,Y,,Y,,13160,Y,,Ministry of Health,Health Centre,,,
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,Y,,,,Y,,,,Y,,Central,Y,Nairobi North,,,Rhodes Chest Clinic,,Nairobi,,,,,,,,Y,,13163,Y,,Local Authority,Medical Clinic - Other,,-0.316755245337163,36.0906536664695
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,Y,,Y,,Y,Y,,Y,Y,,Central,,Nairobi North,Y,,Ribeiro Clinic,,Nairobi,,Y,Y,,Y,Y,Y,Y,,13164,Y,Y,Other Private,Medical Clinic - Other,,-0.316755245337163,36.0906536664695
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,Y,,,,Y,,Kasarani,,Nairobi North,,,Ronil Dispensary,,Nairobi,,,,Y,,Y,,Y,,13166,Y,,Other Private,Dispensary,,,
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,,Kasarani,,Nairobi North,,,Round About Medical Dispensary,,Nairobi,,,,,,,,Y,,13167,,,Other Private,Dispensary,,,
Kasarani,,,,Nairobi,Operational,KASARANI,,,,,,802701,,,,,,,,,Kasarani,,Nairobi North,,,Ruaraka Clinic,,Nairobi,,,,,,Y,,,,13172,,,Ministry of Health,Dispensary,,,
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,,,Y,,,,,,,,Central,,Nairobi North,,,Rural AID VCT,,Nairobi,,,,,,Y,,,,13174,,,Community,VCT Centre (Stand-Alone),,-0.316755245337163,36.0906536664695
Eastleigh Section I,,,,Nairobi,Operational,KAMUKUNJI,,,,,,,,,Y,,,Y,Y,,Eastleigh North,,Nairobi North,,,Salama Nursing Home,,Nairobi,,,,Y,,Y,,Y,9,13175,Y,,Other Private,Nursing home without Maternity,,,
Kahawa,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,,Kasarani,,Nairobi North,,,Samaritan Comm Dispensary,,Nairobi,,,,,,,,Y,,13177,,,Other Faith Based,Dispensary,,,
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,,,Y,,,,,,,,Central,,Nairobi North,,,Sex Workers Operation Project (SWOP),,Nairobi,,,,,,Y,,,,13180,,,Non-Governmental Organizations,Dispensary,,-0.316755245337163,36.0906536664695
Eastleigh Section I,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,,,,Y,Y,Eastleigh North,,Nairobi North,Y,,Shaam Nursing Home,,Nairobi,,,Y,,,Y,,Y,10,13182,Y,,Other Private,Nursing home without Maternity,,,
Shauri Moyo,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,Y,,,Y,Y,Kamukunji,,Nairobi North,Y,,Shauri Moyo Baptist VCT Centre,,Nairobi,,,Y,,,Y,,,,13183,,,Other Faith Based,Medical Clinic - Other,,-1.29575910732274,36.826474893184
Kamukunji,Shauri Moyo,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,,,,Y,,Pumwani,,Nairobi North,,,Shauri Moyo Clinic,,Nairobi,,,,,,,,Y,,13184,Y,,Local Authority,Medical Clinic - Other,,-1.29072335708361,36.8345703830457
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,,,Y,,,,,,,,Central,,Nairobi North,,,Single Mothers Association of Kenya (SMAK),,Nairobi,,,,,,Y,,,,13187,,,Community,VCT Centre (Stand-Alone),,-0.316755245337163,36.0906536664695
Bahati,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,,,,Y,,Bahati,,Nairobi North,Y,,SOS Dispensary,,Nairobi,,,Y,,,,,Y,,13189,Y,,Non-Governmental Organizations,Dispensary,,-1.29562691745446,36.8526952093757
Kariokor,,,,Nairobi,Operational,STAREHE,,,,,Y,,,,Y,,,Y,Y,Y,Central,,Nairobi North,,,Special Treatment Clinic,,Nairobi,,Y,Y,Y,Y,Y,,Y,,13193,Y,,Local Authority,Dispensary,,-0.316755245337163,36.0906536664695
Kahawa,,,,Nairobi,Operational,KASARANI,,,,,Y,,,,Y,,,Y,Y,,Kasarani,,Nairobi North,,,St Annes Medical Health Centre,,Nairobi,,,,Y,,Y,,Y,,13196,Y,,Other Private,Health Centre,,,
Kariokor,,,,Nairobi,Operational,STAREHE,,,,,Y,,Y,,Y,,,,Y,,Central,,Nairobi North,Y,,St Bridgets Clinic,,Nairobi,,,Y,,,,Y,Y,,13199,,Y,Other Private,Medical Clinic - Other,,-0.316755245337163,36.0906536664695
Githurai,,,,Nairobi,Operational,KASARANI,,,,,Y,0722-330688,,,Y,,,,Y,,Kasarani,,Nairobi North,,,St Francis Com Hospital,,Nairobi,,Y,,Y,,Y,,Y,,13202,Y,,Other Private,Other Hospital,,,
Githurai,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,Y,Kasarani,,Nairobi North,Y,,St Francis Health Centre (Nairobi North),,Nairobi,,,Y,,,,Y,Y,,13203,,Y,Other Faith Based,Health Centre,,,
Ruaraka,,,,Nairobi,Operational,KASARANI,,812048,,,Y,,,,Y,,,,Y,,Kasarani,,Nairobi North,,,St John Hospital,,Nairobi,,,,Y,,Y,,Y,,13205,Y,,Other Private,Other Hospital,,,
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,,,,,,,,,,,Central,,Nairobi North,,,St Johns Ambulance,,Nairobi,,,,,,Y,,,,13206,,,Non-Governmental Organizations,VCT Centre (Stand-Alone),,-0.316755245337163,36.0906536664695
Shauri Moyo,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,,,,Y,,Kamukunji,,Nairobi North,,,St Joseph (EDARP) Clinic,,Nairobi,,Y,,,,,,Y,,13207,Y,,Other Faith Based,Medical Clinic - Other,,-1.29575910732274,36.826474893184
Githurai,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,,Kasarani,,Nairobi North,Y,,St Joseph Mukasa Dispensary,,Nairobi,,,,,,,,Y,,13208,Y,,Other Faith Based,Dispensary,,,
Korogocho,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,,Kasarani,,Nairobi North,Y,,St Mary's Health Centre,,Nairobi,,,,,,,,Y,,13217,Y,,Other Private,Health Centre,,,
Kasarani,,,,Nairobi,Operational,KASARANI,,,,,,,Y,,,,,,,,Kasarani,,Nairobi North,,,St Peter Dispensary,,Nairobi,,,,,,,,,,13223,,,Other Private,Dispensary,,,
Kariobangi,,,,Nairobi,Operational,KASARANI,,,,,,,,,,,,,,,Kasarani,,Nairobi North,,,St Philips Health Centre,,Nairobi,,Y,,,,Y,,,,13224,,,Other Private,Health Centre,,,
Eastleigh Section I,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,,,Y,,,Y,Y,,Eastleigh North,,Nairobi North,,,St Teresa's Dispensary,,Nairobi,,,,Y,,Y,,Y,,13225,Y,,Other Faith Based,Dispensary,,,
Eastleigh Section Iii,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,,,Y,,,,Y,,Eastleign South,,Nairobi North,,,St Teresa's Health Centre (Nairobi North),,Nairobi,,,,,,,,Y,,13226,,,Other Private,Health Centre,Y,,
Eastleigh Section I,,,,Nairobi,Operational,KAMUKUNJI,,,,,,,,,Y,,,Y,Y,,Eastleigh North,,Nairobi North,,,St Vincent Dispensary,,Nairobi,,Y,,Y,Y,Y,,Y,,13230,Y,,Other Faith Based,Dispensary,,,
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,,,,,,,,,,,Central,,Nairobi North,,,Supkem (Liverpool),,Nairobi,,,,,,Y,,,,13233,,,Non-Governmental Organizations,VCT Centre (Stand-Alone),,-0.316755245337163,36.0906536664695
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,,,,,,,,,,,Central,,Nairobi North,,,Teachers Service Commission,,Nairobi,,,,,,Y,,,,13235,,,Other Public Institution,VCT Centre (Stand-Alone),,-0.316755245337163,36.0906536664695
Central Business District,,,,Nairobi,Operational,STAREHE,,,,,,,Y,,,,,,,,Central,,Nairobi North,,,Transcom Medical Services,,Nairobi,,,,,,Y,,,,13237,,,Other Private,Dispensary,,-0.316755245337163,36.0906536664695
Mathare,,,,Nairobi,Operational,STAREHE,,,,,Y,,,,Y,,,Y,Y,,Central,,Nairobi North,,,Upendo Dispensary,,Nairobi,,,,Y,,Y,,Y,,13243,Y,,Ministry of Health,Dispensary,,-0.316755245337163,36.0906536664695
Kariobangi,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,,Y,,Kasarani,,Nairobi North,,,Uzima Dispensary,,Nairobi,,,,,,,,Y,,13246,,,Other Private,Dispensary,,,
Ruaraka,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,Y,Y,,Kasarani,,Nairobi North,,,Vision Peoples Inter Health Centre,,Nairobi,,,,,,,,Y,,13248,,,Other Faith Based,Health Centre,,,
Huruma,,,,Nairobi,Operational,STAREHE,,,,,Y,,Y,,Y,,,,Y,,Central,,Nairobi North,,,Wakibe Clinic,,Nairobi,,,,,,,,Y,,13250,Y,,Other Private,Medical Clinic - Other,,-0.316755245337163,36.0906536664695
Githurai,,,,Nairobi,Operational,KASARANI,,,,,,,Y,,,,,,,,Kasarani,,Nairobi North,,,Warazo Clinic,,Nairobi,,,,,,,,,,13253,,,Other Private,Medical Clinic - Other,,,
Eastleigh Section I,,,,Nairobi,Operational,KAMUKUNJI,,,,,Y,,Y,,Y,,,,Y,,Eastleigh North,,Nairobi North,Y,,Woodstreet Nursing Home,,Nairobi,,,,,,,,Y,10,13260,Y,,Other Private,Nursing home with Maternity,,,
Githurai,,,,Nairobi,Operational,KASARANI,,,,,Y,,Y,,Y,,,Y,Y,Y,Kasarani,,Nairobi North,Y,,Zimmerman Medical Dispensary,,Nairobi,,Y,Y,,Y,Y,Y,Y,,13261,Y,Y,Other Private,Dispensary,,,
Parklands,Upper Parklands,,,Nairobi,Operational,WESTLANDS,,,,,,,,,,,,,,,Westlands,,Nairobi West,,,AAR Clinic Sarit Centre,,Nairobi,,,,,,,,,,16796,,,Other Private,Medical Clinic - Other,,,
Uthiru/Ruthimitu,,N,,Nairobi,Operational,DAGORETI,,,,,Y,,Y,,Y,N,,N,Y,N,Dagoretti,N,Nairobi West,Y,,Abandoned Child Care ,0,Nairobi,,N,N,N,N,N,N,Y,0,12864,Y,N,Non-Governmental Organizations,Dispensary,Y,,
Golfcourse,,N,,Nairobi,Operational,DAGORETI,,,,,Y,,Y,,Y,N,,N,Y,Y,Dagoretti,N,Nairobi West,Y,,Afya Medical Health Centre,0,Nairobi,,Y,Y,N,Y,Y,Y,Y,0,12866,Y,Y,Other Private,Health Centre,N,,
Parklands,,N,,Nairobi,Operational,WESTLANDS,,,,,,,Y,,Y,,,Y,Y,Y,Westlands,,Nairobi West,Y,,Aga Khan Hospital,,Nairobi,,Y,Y,N,Y,Y,Y,Y,600,12867,Y,Y,Other Private,Other Hospital,Y,,
Kawangware,Kawangware,N,,Nairobi,Operational,DAGORETI,,,,,Y,,Y,,Y,N,,N,Y,Y,Dagoretti,N,Nairobi West,N,,Al-Gadhir Clinic,0,Nairobi,,N,N,N,N,N,N,Y,0,16801,N,N,Non-Governmental Organizations,Medical Clinic - Other,N,,
Kangemi,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,,,Y,Y,N,Westlands,,Nairobi West,N,,Amurt Health Centre,0,Nairobi,,Y,N,Y,Y,Y,N,Y,0,12870,Y,N,Non-Governmental Organizations,Health Centre,N,,
Parklands,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,,,N,Y,Y,Westlands,N,Nairobi West,Y,,Avenue Nursing Hospital ,20,Nairobi,,N,Y,N,N,Y,Y,Y,160,12874,Y,Y,Other Private,Other Hospital,N,,
Langata,,N,,Nairobi,Operational,LANG'ATA,,,,,N,,Y,,N,N,,N,N,N,Langata,N,Nairobi West,N,,Bomas of Kenya Dispensary,0,Nairobi,,N,N,N,N,N,N,N,0,12886,N,N,Parastatal,Dispensary,N,,
Makina,,N,,Nairobi,Operational,LANG'ATA,,,,,Y,,Y,,Y,N,,N,Y,N,Langata,N,Nairobi West,N,,Carolina Dispensary,0,Nairobi,,Y,N,N,N,Y,N,Y,0,12891,Y,N,Non-Governmental Organizations,Dispensary,N,,
Langata,,N,,Nairobi,Operational,LANG'ATA,,,,,N,,Y,,N,N,,N,N,N,Langata,N,Nairobi West,N,,Catholic University Dispensary,0,Nairobi,,N,N,N,N,Y,N,N,0,12892,N,N,Other Faith Based,Dispensary,Y,,
Uthiru/Ruthimitu,,N,,Nairobi,Operational,DAGORETI,,,,,Y,,Y,,Y,,,Y,Y,N,Dagoretti,,Nairobi West,Y,,Chandaria Health Centre,0,Nairobi,,N,N,N,Y,Y,N,Y,0,12893,Y,N,Community,Dispensary,N,,
Makina,,N,,Nairobi,Operational,LANG'ATA,,,,,Y,,Y,,Y,N,,N,Y,N,Langata,N,Nairobi West,N,,Chemi Chemi Dispensary,0,Nairobi,,N,N,N,N,N,N,Y,0,12894,Y,N,Christian Health Association of Kenya,Dispensary,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,N,,Clinitec Dispensary,,Nairobi,,N,N,Y,N,Y,N,Y,,12898,Y,N,Other Private,Dispensary,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,,,Y,Y,Y,Westlands,Y,Nairobi West,Y,,Coptic Hospital,,Nairobi,,Y,Y,N,N,Y,Y,Y,,12905,Y,Y,Christian Health Association of Kenya,Other Hospital,N,,
Karen,,N,,Nairobi,Operational,LANG'ATA,,,,,N,,Y,,N,N,,Y,N,N,Langata,,Nairobi West,Y,,Cotolengo Home ,,Nairobi,,Y,N,N,Y,Y,N,N,,12907,N,N,Kenya Episcopal Conference-Catholic Secretariat,Other Health Facility,Y,,
Uthiru/Ruthimitu,,N,,Nairobi,Operational,DAGORETI,,,,,N,,Y,,N,N,,N,N,N,Dagoretti,N,Nairobi West,N,,Dagoretti Approved Dispensary,0,Nairobi,,N,N,N,N,N,N,N,0,12909,N,N,Ministry of Health,Rehabilitation Centre,Y,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,Y,,DOD Mrs Dispensary,2,Nairobi,,N,N,N,N,Y,N,Y,9,12918,Y,N,Armed Forces,Dispensary,N,,
Mugumoini,,N,,Nairobi,Operational,LANG'ATA,,,,,N,,Y,,N,N,,N,N,N,Langata,N,Nairobi West,N,,Dog Unit Dispensary (O.P. Admin Police),0,Nairobi,,N,N,N,N,N,N,Y,0,12919,N,N,Other Public Institution,Dispensary,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,N,,Dr  Gachare Medical clinic,0,Nairobi,Dr  Gachare ,N,N,N,N,N,N,Y,0,12922,N,N,Other Private,Medical Clinic - Other,N,,
Karen,,N,,Nairobi,Not-Operational,LANG'ATA,,,,,Y,,Y,,Y,N,,N,Y,N,Langata,N,Nairobi West,N,,Dr  Karos Medical clinic,0,Nairobi,Dr  Karos ,N,N,N,N,N,N,Y,0,12923,Y,N,Other Private,Medical Clinic - Other,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,N,,Dr Aziz Mohamed Medical clinic,0,Nairobi,Dr Aziz Mohamed ,N,N,N,N,N,N,Y,0,12924,Y,N,Other Private,Medical Clinic - Other,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,N,,Dr Montet Medical clinic,0,Nairobi,Dr Montet ,N,N,N,N,N,N,Y,0,12926,Y,N,Other Private,Medical Clinic - Other,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,N,,Dr Muasya Medical clinic,0,Nairobi,Dr Muasya ,N,N,N,N,N,N,Y,0,12927,Y,N,Other Private,Medical Clinic - Other,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,N,,Dr Were Medical clinic,0,Nairobi,Dr Were ,N,N,N,N,N,N,Y,0,12928,Y,N,Other Private,Medical Clinic - Other,N,,
Parklands,Highridge,,,Nairobi,Operational,WESTLANDS,,,,,,,,,,,,,,,Westlands,,Nairobi West,,,Dr. Waris ,,Nairobi,,,,,,,,,,16797,,,Other Private,Medical Clinic - Other,,,
Langata,,N,,Nairobi,Operational,LANG'ATA,,,,,N,,N,,N,N,,N,N,N,Langata,N,Nairobi West,N,,Dreams Center Dispensary,0,Nairobi,Sr.A. Gordon,Y,N,Y,N,Y,N,N,0,12929,N,N,Kenya Episcopal Conference-Catholic Secretariat,Dispensary,N,,
Golfcourse,,N,,Nairobi,Operational,DAGORETI,,,,,N,,Y,,Y,N,,N,N,N,Dagoretti,N,Nairobi West,N,,Family Health Medical Dispensary,0,Nairobi,,N,N,N,N,N,N,N,0,12938,N,N,Non-Governmental Organizations,Dispensary,N,,
Nairobi West,,N,,Nairobi,Operational,LANG'ATA,,,,,Y,,Y,,Y,,,N,Y,Y,Langata,,Nairobi West,Y,,FHOK Health Centre,,Nairobi,,Y,Y,N,N,Y,Y,Y,,12942,Y,N,Non-Governmental Organizations,Health Centre,N,,
Laini Saba,,N,,Nairobi,Operational,LANG'ATA,,,,,Y,,Y,,Y,,,N,Y,Y,Langata,N,Nairobi West,Y,,Frepals Health Centre,,Nairobi,Freda,N,Y,N,N,N,N,Y,8,12944,Y,N,Other Private,Health Centre,N,,
Karen,,N,,Nairobi,Operational,LANG'ATA,,,,,Y,,Y,,Y,N,,N,Y,N,Langata,N,Nairobi West,N,,Future Age Dispensary,0,Nairobi,Zeyle,N,N,N,N,Y,N,Y,0,12945,N,N,Other Private,Dispensary,N,,
Kawangware,Kawangware,N,,Nairobi,Operational,DAGORETI,,,,,Y,,N,,Y,N,,N,N,N,Dagoretti,N,Nairobi West,N,,Gatina United Clinic,0,Nairobi,,N,N,N,N,N,N,Y,0,16803,N,N,Non-Governmental Organizations,Medical Clinic - Other,N,,
Lindi,,N,,Nairobi,Operational,LANG'ATA,,,,,N,,N,,N,N,,N,N,N,Langata,N,Nairobi West,N,,Gatwikera (MSF Belgium) clinic,0,Nairobi,,Y,N,Y,N,Y,N,N,0,12948,N,N,Non-Governmental Organizations,VCT Centre (Stand-Alone),N,,
Muthaiga,,N,,Nairobi,Operational,WESTLANDS,,,,,N,,Y,,N,,,Y,Y,N,Westlands,Y,Nairobi West,Y,,Gertrudes Hospital,,Nairobi,,Y,N,N,Y,Y,N,Y,85,12950,Y,Y,Other Private,Other Hospital,Y,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,,,Y,Y,N,Westlands,N,Nairobi West,N,,Gertrudes Othaya Road Dispensary,0,Nairobi,,N,N,Y,N,Y,N,Y,0,12951,Y,N,Other Private,Dispensary,N,,
Nairobi West,,N,,Nairobi,Operational,LANG'ATA,,,,,Y,,Y,,Y,,,Y,Y,N,Langata,N,Nairobi West,N,,Getrudes Clinic Dispensary (Nairobi West),0,Nairobi,,N,N,Y,N,Y,N,Y,0,12953,Y,N,Other Private,Dispensary,N,,
Kangemi,Gichagi,,,Nairobi,Operational,WESTLANDS,,,,,,,,,,,,,,,Westlands,,Nairobi West,,,Gichago Dispensary,,Nairobi,,,,,,,,,,16799,,,Other Private,Dispensary,,,
Mutuini,,N,,Nairobi,Operational,DAGORETI,,,,,Y,,Y,,Y,N,,N,Y,N,Dagoretti,N,Nairobi West,N,,Gichuru Medical Clinic ,0,Nairobi,,N,N,Y,N,Y,N,Y,0,12954,N,N,Other Private,Dispensary,N,,
Mutuini,,N,,Nairobi,Operational,DAGORETI,,,,,Y,,Y,,Y,N,,N,Y,N,Dagoretti,N,Nairobi West,N,,Good Shepherd Dispensary,0,Nairobi,,N,N,N,N,N,N,Y,0,12960,Y,N,Other Private,Dispensary,N,,
Makina,,N,,Nairobi,Operational,LANG'ATA,,,,,N,,Y,,N,N,,N,N,N,Langata,N,Nairobi West,N,,GSU Dispensary (Nairobi West),0,Nairobi,,N,N,N,N,N,N,N,0,12961,N,N,Ministry of Health,Dispensary,N,,
Kilimani,,N,,Nairobi,Not-Operational,WESTLANDS,,,,,N,,N,,N,N,,N,N,N,Westlands,N,Nairobi West,N,,GTZ Dispensary,0,Nairobi,,N,N,N,N,N,N,N,0,12964,N,N,Non-Governmental Organizations,Dispensary,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Westlands,N,Nairobi West,N,,Gynapaed Dispensary,,Nairobi,,N,N,N,N,N,N,Y,,12966,N,N,Other Private,Dispensary,N,,
Highridge,,Y,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,,,Y,Y,N,Westlands,N,Nairobi West,N,,Highridge Dispensary,0,Nairobi,Micheni,N,N,N,N,Y,N,Y,0,12968,Y,N,Local Authority,Dispensary,N,,
Uthiru/Ruthimitu,,N,,Nairobi,Operational,DAGORETI,,,,,N,,Y,,N,N,,N,N,N,Dagoretti,N,Nairobi West,N,,Hope Community Dispensary,,Nairobi,,N,N,N,N,Y,N,N,,12970,N,N,Non-Governmental Organizations,Dispensary,N,,
Kilimani,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,,,N,Y,N,Westlands,N,Nairobi West,N,,I R Iran Dispensary,0,Nairobi,,N,N,N,N,N,N,Y,0,12979,Y,N,Other Private,Dispensary,N,,
Kikuyu,,N,,Nairobi,Operational,WESTLANDS,,,,,Y,,Y,,Y,N,,N,Y,N,Kikuyu,N,Nairobi West,Y,,Jamii Clinic (Nairobi West),,Nairobi,,N,N,N,N,N,N,Y,,12985,N,N,Other Private,Dispensary,N,-1.25578762613122,36.6491353475401
Nairobi West,,N,,Nairobi,Operational,LANG'ATA,,,,,Y,,Y,,Y,,,N,Y,N,Langata,N,Nairobi West,N,,Jinnah Ave Clinic,0,Nairobi,Mbogori,N,N,N,N,Y,N,Y,0,12990,Y,N,Local Authority,Dispensary,N,,
